Index,x,y,feature,color
1,231.94814474342013,391.2794087767892,Feature 1,#FFFFFF
2,273.6377112985144,346.4355737102716,Feature 1,#FFFFFF
3,258.20137409478775,360.1524790712016,Feature 1,#FFFFFF
4,258.42246091708466,313.15786227058925,Feature 1,#FFFFFF
5,237.18499496334877,345.1936390277557,Feature 1,#FFFFFF
6,231.72815215901798,344.1026603731358,Feature 1,#FFFFFF
7,225.1627526243593,339.512557627068,Feature 1,#FFFFFF
8,242.30840813417444,361.19865728265864,Feature 1,#FFFFFF
9,239.63476525536714,338.1959691887617,Feature 1,#FFFFFF
10,250.1512093556483,353.59757682704907,Feature 1,#FFFFFF
11,242.88539073129374,365.9870336684315,Feature 1,#FFFFFF
12,274.43472835865487,356.01838466208613,Feature 1,#FFFFFF
13,254.89625761928548,359.0738165575353,Feature 1,#FFFFFF
14,290.93476780136257,355.0959175691646,Feature 1,#FFFFFF
15,273.94263539851676,335.7986633377476,Feature 1,#FFFFFF
16,204.73511717834916,413.5778624317874,Feature 1,#FFFFFF
17,286.6610623338692,335.30591797606905,Feature 1,#FFFFFF
18,247.8806907193087,352.3294039702542,Feature 1,#FFFFFF
19,251.3226687515015,336.1981575327319,Feature 1,#FFFFFF
20,260.3058878306698,415.90721902532454,Feature 1,#FFFFFF
21,222.43949599297537,325.2103399289427,Feature 1,#FFFFFF
22,262.3365310677663,361.9388763333333,Feature 1,#FFFFFF
23,188.1585445945005,369.13424445314473,Feature 1,#FFFFFF
24,264.7371640367959,357.58063079840673,Feature 1,#FFFFFF
25,227.61973795160088,395.13874015379224,Feature 1,#FFFFFF
26,225.39524164859847,365.69008977584645,Feature 1,#FFFFFF
27,203.83094442938238,338.3907513422119,Feature 1,#FFFFFF
28,220.41695706993983,421.82283865385955,Feature 1,#FFFFFF
29,230.59701350208994,321.4173849867152,Feature 1,#FFFFFF
30,247.52045184422886,341.94915846021155,Feature 1,#FFFFFF
31,303.7924926504487,352.8113109866076,Feature 1,#FFFFFF
32,275.9626717595347,316.1626587187749,Feature 1,#FFFFFF
33,284.54052204619063,332.3799911258814,Feature 1,#FFFFFF
34,219.17103638209838,311.4579966792748,Feature 1,#FFFFFF
35,290.5875695007756,310.0201146941916,Feature 1,#FFFFFF
36,238.4378057791187,411.06302910544366,Feature 1,#FFFFFF
37,262.9869132866937,309.3660064764433,Feature 1,#FFFFFF
38,242.73303703310125,336.51647050020273,Feature 1,#FFFFFF
39,250.55292649949024,340.77040531879936,Feature 1,#FFFFFF
40,193.0483330686448,334.0792962871941,Feature 1,#FFFFFF
41,182.9078130780967,369.22664877153755,Feature 1,#FFFFFF
42,235.83599425048772,345.9091449804357,Feature 1,#FFFFFF
43,250.33703567951707,298.59994994053744,Feature 1,#FFFFFF
44,206.4574435629672,382.74942508574,Feature 1,#FFFFFF
45,253.35887219954444,369.8225643495941,Feature 1,#FFFFFF
46,222.65096758857734,343.4839080418739,Feature 1,#FFFFFF
47,297.43876379309796,328.0129005498566,Feature 1,#FFFFFF
48,248.21166002019345,305.48470766466966,Feature 1,#FFFFFF
49,189.14021467122475,350.1124528371043,Feature 1,#FFFFFF
